date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:08	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:48:09%20GMT	http://docs.donkeycar.com/guide/train_autopilot	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/train_autopilot	(from http://docs.donkeycar.com/)
09:48:08	22933/22933	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-5995%22	http://docs.donkeycar.com/guide/deep_learning/mobile_app/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/deep_learning/mobile_app/index.html	(from http://docs.donkeycar.com/)
09:48:08	24252/24252	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-5ebc%22	http://docs.donkeycar.com/parts/about/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/about/index.html	(from http://docs.donkeycar.com/)
09:48:09	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:48:10%20GMT	http://docs.donkeycar.com/guide/deep_learning/simulator	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/deep_learning/simulator	(from http://docs.donkeycar.com/)
09:48:09	35158/35158	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-8956%22	http://docs.donkeycar.com/parts/actuators/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/actuators/index.html	(from http://docs.donkeycar.com/)
09:48:09	34656/34656	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-8760%22	http://docs.donkeycar.com/parts/controllers/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/controllers/index.html	(from http://docs.donkeycar.com/)
09:48:09	118907/118907	---M-Z	200	added ('OK')	application/javascript	etag:%225fe3c912-1d07b%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/highlight.min.js	C:/My%20Web%20Sites/Site_maia/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/highlight.min.js	(from http://docs.donkeycar.com/)
09:48:09	16384/16384	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-4000%22	http://docs.donkeycar.com/parts/odometry/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/odometry/index.html	(from http://docs.donkeycar.com/)
09:48:10	195/195	---M--	200	added ('OK')	application/javascript	etag:%22637696c1-c3%22	http://docs.donkeycar.com/js/theme_extra.js	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/js/theme_extra.js	(from http://docs.donkeycar.com/)
09:48:10	15944/15944	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-3e48%22	http://docs.donkeycar.com/parts/rc/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/rc/index.html	(from http://docs.donkeycar.com/)
